url,scrapeDatetime,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po3,CAGR
https://www.realtor.ca/real-estate/24090991/166062-robie-street-halifax-peninsula-halifax-peninsula,"03/26/2022, 06:40:52",1199900.0,1660/62 Robie Street,"Halifax Peninsula, Nova Scotia B3H3E7",B3H3E7,MLS  Number: 202203261,3 + 1,4.0,3.0,Single Family,House,2.0,Halifax Peninsula,Freehold,under 1/2 acre,,Parking Space(s),23 days,"Sep 26, 2013 Sold $675,000",2686.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,,B3H,0.0660072104963487
https://www.realtor.ca/real-estate/24087822/604-2842-2856-gottingen-street-halifax-halifax,"03/26/2022, 06:47:46",719900.0,604 2842-2856 Gottingen Street,"Halifax, Nova Scotia B3K3E1",B3K3E1,MLS  Number: 202203232,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,,"Garage, Underground",24 days,"Mar 1, 2023 Sold $324,900 (CAD)",877.0,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,None,B3K,-0.5486873176830116
https://www.realtor.ca/real-estate/24187403/64-wentworth-drive-halifax-halifax,"03/26/2022, 11:31:22",499900.0,64 Wentworth Drive,"Halifax, Nova Scotia B3M4R3",B3M4R3,MLS  Number: 202205153,3 + 1,4.0,4.0,Single Family,House,2.0,Halifax,Freehold,under 1/2 acre,1997.0,,1 day,,2168.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3M,0.0
https://www.realtor.ca/real-estate/24186523/9-viridian-drive-dartmouth-dartmouth,"03/26/2022, 11:40:15",750000.0,9 Viridian Drive,"Dartmouth, Nova Scotia B3A0B7",B3A0B7,MLS  Number: 202205145,2 + 2,4.0,4.0,Single Family,House,1.0,Dartmouth,Freehold,under 1/2 acre,2014.0,"Garage, Attached Garage",1 day,"Apr 15, 2014 Sold $444,433",2494.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B3A,0.0675958344611564
https://www.realtor.ca/real-estate/24184276/170-ochterloney-street-dartmouth-dartmouth,"03/26/2022, 11:54:18",749000.0,170 Ochterloney Street,"Dartmouth, Nova Scotia B2Y1E1",B2Y1E1,MLS  Number: 202205120,5 + 0,5.0,2.0,Single Family,House,2.0,Dartmouth,Freehold,under 1/2 acre,,Parking Space(s),1 day,,1500.0,"Stove, Microwave, Refrigerator",Poured Concrete,Detached,,,B2Y,0.0
https://www.realtor.ca/real-estate/24183480/404-5839-cunard-street-halifax-halifax,"03/26/2022, 12:46:12",729900.0,404 5839 Cunard Street,"Halifax, Nova Scotia B3K0B9",B3K0B9,MLS  Number: 202205097,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,2007.0,"Garage, Underground",1 day,,1281.0,,Poured Concrete,,,None,B3K,0.0
https://www.realtor.ca/real-estate/24183481/41-braemount-drive-clayton-park-clayton-park,"03/26/2022, 12:43:32",300000.0,41 Braemount Drive,"Clayton Park, Nova Scotia B3M3P3",B3M3P3,MLS  Number: 202205098,3 + 0,3.0,3.0,Single Family,Row / Townhouse,2.0,Clayton Park,Condominium/Strata,under 1/2 acre,1979.0,,1 day,"Apr 27, 2018 Sold $208,000",1798.0,,Poured Concrete,,2 Level,,B3M,0.0958837317608805
https://www.realtor.ca/real-estate/24183686/20-parmbelle-lane-halifax-halifax,"03/26/2022, 12:44:40",475000.0,20 Parmbelle Lane,"Halifax, Nova Scotia B3M1N3",B3M1N3,MLS  Number: 202205106,3 + 2,5.0,4.0,Single Family,House,1.0,Halifax,Freehold,under 1/2 acre,1975.0,"Garage, Attached Garage",1 day,,2826.0,,Poured Concrete,Detached,,,B3M,0.0
https://www.realtor.ca/real-estate/24182784/1821-vernon-street-halifax-halifax,"03/26/2022, 12:48:29",1195000.0,1821 Vernon Street,"Halifax, Nova Scotia B3H3N6",B3H3N6,MLS  Number: 202205080,5 + 0,5.0,3.0,Single Family,House,3.0,Halifax,Freehold,under 1/2 acre,1918.0,,1 day,,2682.0,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,3 Level,Full,B3H,0.0
https://www.realtor.ca/real-estate/24182534/403-1990-vernon-street-halifax-halifax,"03/26/2022, 12:52:03",849900.0,403 1990 Vernon Street,"Halifax, Nova Scotia B3H0B8",B3H0B8,MLS  Number: 202205074,2 + 0,2.0,2.0,Single Family,Apartment,1.0,Halifax,Condominium/Strata,under 1/2 acre,2018.0,"Garage, Underground, Other",2 days,,1425.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,Unknown,B3H,0.0
