@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-7,22-23,28-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R12'

@attribute price numeric
@attribute ' bedrooms ' numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute communityName {Dartmouth,Kingston,Bedford,'Robinsons Corner','New Glasgow',Stellarton,'Clam Harbour',Armdale,'Martins River','Hammonds Plains','Porters Lake','Eastern Passage',Cookville,Nictaux,Cleveland,Spryfield,Halifax,'Lower Sackville','Little Harbour',Kentville,Berwick,Waverley,'North End',Greenwood,Enfield,'Middle Sackville',Rockingham,Shubenacadie,'Addington Forks',Scotsburn,Lawrencetown,'Lower Onslow','Ostrea Lake',Somerset,Wolfville,'Jordan Falls','Franey Corner','Deep Cove','Port Hawkesbury','Halifax Peninsula',Aspotogan,'Cole Harbour',Lucasville,Plymouth,'Blue Rocks','Garden Lots','Pleasant Point',Wilmot,Burlington,Wittenburg,Hantsport,'West Dover',Bridgewater,Brooklyn,Liverpool,Centreville,'West Gore','Port Dufferin',Milford,'Gays River',Wedgewood,'West Bedford','Musquodoboit Harbour',Fairview,Springfield,Canning,Cambridge,Williamswood,'Beaver Bank','Lower South River','Louis Head',Hubley,Leminster,Truro,Timberlea,'Clayton Park','Mount Uniacke',Hubbards,Westville,'Fall River',Lunenburg,'Upper Tantallon','Bible Hill',Lakeview,'East Petpeswick',Parrsboro,Elmsdale,'Prospect Village','Sheet Harbour',Wentworth,Seabright,'West Porters Lake',Tennecape,'Herring Cove','Rhodes Corner','New Minas',Millville,Riverside,'Newport Corner',Prospect,'Lower Branch',Ardoise,Middleton,Paradise,Meadowvale,Falmouth,'Country Harbour','Dutch Settlement',Stewiacke,Boudreauville,Oakfield,Collingwood,Burntcoat,'Upper Stewiacke','Great Village',Belmont,'Chester Basin','Upper Nine Mile River','Central North River','Upper Branch','Poplar Grove',Thorburn,Coldbrook,Sackville,'Gaetz Brook','Scotch Village','Watt Section','Salmon River',Oakland,Valley,Poulamon,'Fort Ellis',Harmony,'Lower Five Islands','White Rock','Union Centre',Windsor,'Port Williams','Lower Wolfville','Tupper Lake','Truro Heights','Windsor Junction','West Chezzetcook',Noel,'Glen Haven','Martins Brook',Chaplin,'Currys Corner',Trenton,'Brierly Brook','Salmon River Bridge',Millwood,'Spencers Island',Portapique,'Brunello Estates',Springhill,'West Arichat','Pine Tree','Hatchet Lake','Stillwater Lake','Port Bickerton','Simms Settlement',Chester,'Moshers Corner','Colby Village','Antigonish Landing','Byers Lake',Tantallon,Woodlawn,'Lake Echo',Aylesford,'Mount William','Bedford West','Hunts Point','New Germany','Halfway Brook',Belnan,Walden,'Terence Bay','Upper Kennetcook','Manassette Lake',Antigonish,Wellington,'College Grant','Onslow Mountain',Brentwood,Tatamagouche,'Three Mile Plains',Beechville,'West St. Andrews','North Kentville'}
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute style {Semi-detached,Detached,'Up and down','Side by side'}
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
399900,3,3,3,'Row / Townhouse',2,Dartmouth,'under 1/2 acre',2010,1815,?,B2W
329900,2,2,1,Apartment,1,Dartmouth,'under 1/2 acre',2012,986,?,B2W
165000,3,4,2,House,2,Kingston,'under 1/2 acre',1995,1400,Semi-detached,B0P
339000,3,3,2,House,2,Bedford,'under 1/2 acre',1980,1470,Semi-detached,B4A
750000,3,4,3,House,2,'Robinsons Corner','under 1/2 acre',2020,3120,Detached,B0J
214500,3,3,2,House,2,'New Glasgow','under 1/2 acre',?,1199,Detached,B2H
290000,3,5,2,House,1,Stellarton,'1/2 - 1 acre',1986,1521,Detached,B2H
59900,3,3,1,House,2,'Clam Harbour','1 - 3 acres',?,1568,Detached,B0J
434900,2,2,2,Apartment,1,Armdale,'under 1/2 acre',?,1326,?,B3N
450000,3,3,1,House,2,'Martins River','1/2 - 1 acre',1962,1640,Detached,B0J
419900,2,3,3,House,1,'New Glasgow','under 1/2 acre',2007,2700,Detached,B2H
775000,3,4,4,House,2,'Hammonds Plains','1/2 - 1 acre',?,2900,Detached,B3Z
819900,4,4,4,House,2,Bedford,'under 1/2 acre',2005,3116,Detached,B4A
345000,3,3,1,House,1,'Porters Lake','under 1/2 acre',1982,1653,Detached,B3R
279900,0,3,2,House,1,'Eastern Passage','under 1/2 acre',2002,1440,Semi-detached,B3G
329900,2,2,1,House,1,Cookville,'1 - 3 acres',2002,1060,Detached,B4V
279000,2,2,1,House,1,Dartmouth,'under 1/2 acre',?,815,Detached,B3A
185000,2,2,1,House,2,Nictaux,'under 1/2 acre',1932,920,Detached,B0S
139900,2,2,1,'Mobile Home',1,Cleveland,'under 1/2 acre',?,704,?,B0E
299900,3,3,2,House,1,'New Glasgow','under 1/2 acre',1971,1483,Detached,B2H
489900,3,4,4,House,2,Spryfield,'under 1/2 acre',2018,2261,Semi-detached,B3R
425000,3,4,3,House,2,Halifax,'under 1/2 acre',1993,2000,Semi-detached,B3N
549900,3,4,4,House,2,Halifax,'under 1/2 acre',?,2204,Semi-detached,B3R
279900,3,3,2,House,1,'Lower Sackville','under 1/2 acre',?,1048,Detached,B4C
359900,2,3,2,House,1,'Little Harbour','1/2 - 1 acre',1983,2460,Detached,B0J
525000,2,4,4,House,2,Kentville,'1 - 3 acres',1990,3681,Detached,B4N
349900,4,4,3,House,2,Berwick,'under 1/2 acre',?,1934,Detached,B0P
375000,3,3,2,Apartment,1,Halifax,'under 1/2 acre',?,1300,?,B3H
595000,3,3,2,House,2,Waverley,'1/2 - 1 acre',1999,1741,Detached,B2R
374900,3,4,2,House,1,Nictaux,'under 1/2 acre',1993,2400,Detached,B0S
249900,3,3,2,House,2,Dartmouth,'under 1/2 acre',1983,1794,Semi-detached,B2W
650000,5,5,2,Duplex,2,'North End','under 1/2 acre',1922,2393,?,B3K
949900,2,2,2,House,2,Halifax,'under 1/2 acre',1951,2357,Detached,B3P
380000,3,5,3,House,1,Greenwood,'1/2 - 1 acre',1994,2430,Detached,B0P
324900,3,3,3,House,2,'New Glasgow','under 1/2 acre',?,2496,Detached,B2H
525000,3,3,2,House,3,Dartmouth,'under 1/2 acre',1980,2402,Detached,B2X
450000,3,3,2,House,1,Dartmouth,'under 1/2 acre',1986,1996,Detached,B2X
399900,6,6,2,Duplex,2,Halifax,'under 1/2 acre',?,2390,'Up and down',B3N
350000,3,3,4,House,2,Enfield,'under 1/2 acre',2020,1886,Semi-detached,B2T
329000,3,4,2,House,1,'Lower Sackville','under 1/2 acre',1964,1810,Detached,B4C
439900,3,4,3,House,2,'Middle Sackville','under 1/2 acre',2005,2189,Detached,B4E
294900,2,2,2,Apartment,1,Rockingham,'under 1/2 acre',1986,1033,?,B3M
599900,3,5,4,House,2,Bedford,'under 1/2 acre',2003,3100,Detached,B4A
489900,2,3,1,House,1,Dartmouth,'under 1/2 acre',1991,1834,Detached,B2V
