@relation 'home0_510-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-12,14-15-weka.filters.unsupervised.attribute.Remove-R12-13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9'

@attribute price numeric
@attribute totalbedrooms numeric
@attribute bathrooms numeric
@attribute BuildingType {'Row / Townhouse',Apartment,House,'Mobile Home',Duplex}
@attribute storeys numeric
@attribute landSize {'under 1/2 acre','1/2 - 1 acre','1 - 3 acres','3 - 10 acres',Unknown,'10 - 49 acres','100+ acres','50 - 100 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute po3 {B2W,B0P,B4A,B0J,B2H,B3N,B3Z,B3R,B3G,B4V,B3A,B0S,B0E,B4C,B4N,B3H,B2R,B3K,B3P,B2X,B2T,B4E,B3M,B2V,B0N,B2G,B0K,B0M,B4P,B0T,B0R,B9A,B4B,B2Y,A1A,B3V,B4G,B2N,B3T,B2S,B3E,B3L,B2Z,B6L,B0H,B4R,B3W,B3J}

@data
399900,3,3,'Row / Townhouse',2,'under 1/2 acre',2010,1815,B2W
329900,2,1,Apartment,1,'under 1/2 acre',2012,986,B2W
165000,4,2,House,2,'under 1/2 acre',1995,1400,B0P
339000,3,2,House,2,'under 1/2 acre',1980,1470,B4A
750000,4,3,House,2,'under 1/2 acre',2020,3120,B0J
214500,3,2,House,2,'under 1/2 acre',?,1199,B2H
290000,5,2,House,1,'1/2 - 1 acre',1986,1521,B2H
59900,3,1,House,2,'1 - 3 acres',?,1568,B0J
434900,2,2,Apartment,1,'under 1/2 acre',?,1326,B3N
450000,3,1,House,2,'1/2 - 1 acre',1962,1640,B0J
419900,3,3,House,1,'under 1/2 acre',2007,2700,B2H
775000,4,4,House,2,'1/2 - 1 acre',?,2900,B3Z
819900,4,4,House,2,'under 1/2 acre',2005,3116,B4A
345000,3,1,House,1,'under 1/2 acre',1982,1653,B3R
279900,3,2,House,1,'under 1/2 acre',2002,1440,B3G
329900,2,1,House,1,'1 - 3 acres',2002,1060,B4V
279000,2,1,House,1,'under 1/2 acre',?,815,B3A
185000,2,1,House,2,'under 1/2 acre',1932,920,B0S
139900,2,1,'Mobile Home',1,'under 1/2 acre',?,704,B0E
299900,3,2,House,1,'under 1/2 acre',1971,1483,B2H
489900,4,4,House,2,'under 1/2 acre',2018,2261,B3R
425000,4,3,House,2,'under 1/2 acre',1993,2000,B3N
549900,4,4,House,2,'under 1/2 acre',?,2204,B3R
279900,3,2,House,1,'under 1/2 acre',?,1048,B4C
359900,3,2,House,1,'1/2 - 1 acre',1983,2460,B0J
525000,4,4,House,2,'1 - 3 acres',1990,3681,B4N
349900,4,3,House,2,'under 1/2 acre',?,1934,B0P
375000,3,2,Apartment,1,'under 1/2 acre',?,1300,B3H
595000,3,2,House,2,'1/2 - 1 acre',1999,1741,B2R
374900,4,2,House,1,'under 1/2 acre',1993,2400,B0S
249900,3,2,House,2,'under 1/2 acre',1983,1794,B2W
650000,5,2,Duplex,2,'under 1/2 acre',1922,2393,B3K
949900,2,2,House,2,'under 1/2 acre',1951,2357,B3P
380000,5,3,House,1,'1/2 - 1 acre',1994,2430,B0P
324900,3,3,House,2,'under 1/2 acre',?,2496,B2H
525000,3,2,House,3,'under 1/2 acre',1980,2402,B2X
450000,3,2,House,1,'under 1/2 acre',1986,1996,B2X
399900,6,2,Duplex,2,'under 1/2 acre',?,2390,B3N
350000,3,4,House,2,'under 1/2 acre',2020,1886,B2T
329000,4,2,House,1,'under 1/2 acre',1964,1810,B4C
439900,4,3,House,2,'under 1/2 acre',2005,2189,B4E
