price,totalbedrooms,bathrooms,BuildingType,storeys,communityName,title,landSize,Builtin,totalFinishedArea,style,po3,CAGR
399900,3,3,'Row / Townhouse',2,Dartmouth,Freehold,'under 1/2 acre',2010,1815,?,B2W,0.081807
329900,2,1,Apartment,1,Dartmouth,Condominium/Strata,'under 1/2 acre',2012,986,?,B2W,0
165000,4,2,House,2,Kingston,Freehold,'under 1/2 acre',1995,1400,Semi-detached,B0P,0.043886
339000,3,2,House,2,Bedford,Freehold,'under 1/2 acre',1980,1470,Semi-detached,B4A,0
750000,4,3,House,2,'Robinsons Corner',Freehold,'under 1/2 acre',2020,3120,Detached,B0J,0
214500,3,2,House,2,'New Glasgow',Freehold,'under 1/2 acre',?,1199,Detached,B2H,0
290000,5,2,House,1,Stellarton,Freehold,'1/2 - 1 acre',1986,1521,Detached,B2H,0.050862
59900,3,1,House,2,'Clam Harbour',Freehold,'1 - 3 acres',?,1568,Detached,B0J,0
434900,2,2,Apartment,1,Armdale,Condominium/Strata,'under 1/2 acre',?,1326,?,B3N,0
450000,3,1,House,2,'Martins River',Freehold,'1/2 - 1 acre',1962,1640,Detached,B0J,0
419900,3,3,House,1,'New Glasgow',Freehold,'under 1/2 acre',2007,2700,Detached,B2H,0.042854
775000,4,4,House,2,'Hammonds Plains',Freehold,'1/2 - 1 acre',?,2900,Detached,B3Z,0.445469
819900,4,4,House,2,Bedford,Freehold,'under 1/2 acre',2005,3116,Detached,B4A,0.049891
345000,3,1,House,1,'Porters Lake',Freehold,'under 1/2 acre',1982,1653,Detached,B3R,0.061274
279900,3,2,House,1,'Eastern Passage',Freehold,'under 1/2 acre',2002,1440,Semi-detached,B3G,0
329900,2,1,House,1,Cookville,Freehold,'1 - 3 acres',2002,1060,Detached,B4V,0.066739
279000,2,1,House,1,Dartmouth,Freehold,'under 1/2 acre',?,815,Detached,B3A,0
185000,2,1,House,2,Nictaux,Freehold,'under 1/2 acre',1932,920,Detached,B0S,0.087537
139900,2,1,'Mobile Home',1,Cleveland,Freehold,'under 1/2 acre',?,704,?,B0E,0.326037
299900,3,2,House,1,'New Glasgow',Freehold,'under 1/2 acre',1971,1483,Detached,B2H,0.191334
489900,4,4,House,2,Spryfield,Freehold,'under 1/2 acre',2018,2261,Semi-detached,B3R,0.145127
425000,4,3,House,2,Halifax,Freehold,'under 1/2 acre',1993,2000,Semi-detached,B3N,0.083962
549900,4,4,House,2,Halifax,Freehold,'under 1/2 acre',?,2204,Semi-detached,B3R,0
279900,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',?,1048,Detached,B4C,0
359900,3,2,House,1,'Little Harbour',Freehold,'1/2 - 1 acre',1983,2460,Detached,B0J,0.105543
525000,4,4,House,2,Kentville,Freehold,'1 - 3 acres',1990,3681,Detached,B4N,0.04103
349900,4,3,House,2,Berwick,Freehold,'under 1/2 acre',?,1934,Detached,B0P,0.064626
375000,3,2,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',?,1300,?,B3H,0.125106
595000,3,2,House,2,Waverley,Freehold,'1/2 - 1 acre',1999,1741,Detached,B2R,0
374900,4,2,House,1,Nictaux,Freehold,'under 1/2 acre',1993,2400,Detached,B0S,0.055623
249900,3,2,House,2,Dartmouth,Freehold,'under 1/2 acre',1983,1794,Semi-detached,B2W,0.061096
650000,5,2,Duplex,2,'North End',Freehold,'under 1/2 acre',1922,2393,?,B3K,0.187475
949900,2,2,House,2,Halifax,Freehold,'under 1/2 acre',1951,2357,Detached,B3P,0
380000,5,3,House,1,Greenwood,Freehold,'1/2 - 1 acre',1994,2430,Detached,B0P,0.140622
324900,3,3,House,2,'New Glasgow',Freehold,'under 1/2 acre',?,2496,Detached,B2H,0
525000,3,2,House,3,Dartmouth,Freehold,'under 1/2 acre',1980,2402,Detached,B2X,0
450000,3,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1986,1996,Detached,B2X,0
399900,6,2,Duplex,2,Halifax,Freehold,'under 1/2 acre',?,2390,'Up and down',B3N,0
350000,3,4,House,2,Enfield,Freehold,'under 1/2 acre',2020,1886,Semi-detached,B2T,0
329000,4,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1964,1810,Detached,B4C,0.087798
439900,4,3,House,2,'Middle Sackville',Freehold,'under 1/2 acre',2005,2189,Detached,B4E,0
294900,2,2,Apartment,1,Rockingham,Condominium/Strata,'under 1/2 acre',1986,1033,?,B3M,0.156239
599900,5,4,House,2,Bedford,Freehold,'under 1/2 acre',2003,3100,Detached,B4A,0.071366
489900,3,1,House,1,Dartmouth,Freehold,'under 1/2 acre',1991,1834,Detached,B2V,0.07889
349000,3,2,Apartment,3,Halifax,Condominium/Strata,'under 1/2 acre',1919,1029,?,B3H,0.082014
399900,2,1,House,2,'Eastern Passage',Freehold,'under 1/2 acre',1960,1050,Detached,B3G,0
499900,3,4,House,2,Halifax,Freehold,'under 1/2 acre',2012,1937,Detached,B3R,0.075733
379000,3,3,House,1,Shubenacadie,Freehold,'1 - 3 acres',?,2528,Detached,B0N,0.07532
399000,4,1,House,1,'Addington Forks',Freehold,'1 - 3 acres',?,1159,Detached,B2G,0
189000,3,2,'Mobile Home',1,Scotsburn,Freehold,'3 - 10 acres',2019,1088,?,B0K,0
649999,6,3,House,3,Lawrencetown,Freehold,'1 - 3 acres',?,3820,Detached,B0S,0.061665
240000,3,2,House,1,Kingston,Freehold,'1/2 - 1 acre',1996,1753,Detached,B0P,0
239000,3,1,House,1,'Lower Onslow',Freehold,'under 1/2 acre',1950,768,Detached,B0M,0
599900,3,2,House,1,'Ostrea Lake',Freehold,'3 - 10 acres',2019,1924,Detached,B0J,0
399000,4,2,House,2,Halifax,Freehold,'under 1/2 acre',2009,1552,Semi-detached,B3P,0
289900,3,2,House,2,'Eastern Passage',Freehold,'under 1/2 acre',1991,1244,Semi-detached,B3G,0
249900,2,1,Apartment,1,Halifax,Condominium/Strata,?,1988,937,?,B3M,0.187173
299900,2,2,House,2,Somerset,Freehold,'under 1/2 acre',1873,3650,Detached,B0P,0
649900,3,3,House,1,Enfield,Freehold,'3 - 10 acres',2021,2700,Detached,B2T,0.279317
425000,7,2,House,2,Wolfville,Freehold,'under 1/2 acre',1957,2020,Detached,B4P,0.073908
