@relation 'HalifaxSubset_v1-weka.filters.unsupervised.attribute.Remove-R1-2,4-8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-11,19-weka.filters.unsupervised.attribute.Remove-R7,11-12-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R7-8'

@attribute price numeric
@attribute communityName {Halifax,Dartmouth,'Halifax Peninsula',Wedgewood,'West Bedford',Fairview,'Clayton Park',Spryfield,Rockingham,Bedford,'Bedford West',Beechville,'North End'}
@attribute landSize {'under 1/2 acre',Unknown,'1/2 - 1 acre','1 - 3 acres'}
@attribute Builtin numeric
@attribute totalFinishedArea numeric
@attribute style {Detached,Semi-detached}
@attribute po3 {B3M,B3P,B3A,B3K,B3N,B2Y,B3H,B4B,B3L,B3R,B4A,B2X,B3J,B3T}

@data
499000,Halifax,?,2003,1550,?,B3M
499900,Halifax,'under 1/2 acre',2019,1957,Detached,B3P
439000,Dartmouth,'under 1/2 acre',1959,1582,Detached,B3A
479900,'Halifax Peninsula',?,2016,953,?,B3K
349900,Halifax,Unknown,2010,1224,?,B3N
349900,Dartmouth,'under 1/2 acre',1957,1313,Detached,B2Y
399900,Dartmouth,'under 1/2 acre',1986,911,?,B2Y
224900,Dartmouth,'under 1/2 acre',1962,664,Detached,B2Y
958000,Halifax,'under 1/2 acre',2009,4080,Detached,B3N
419900,Halifax,?,1902,1150,?,B3H
509900,Halifax,'under 1/2 acre',2003,1632,?,B3M
349900,Dartmouth,'under 1/2 acre',?,1572,Detached,B2Y
467000,Halifax,'under 1/2 acre',1990,1084,?,B3N
999000,Halifax,?,1999,2065,?,B3N
1398000,Halifax,'under 1/2 acre',1936,3340,Detached,B3H
749900,Wedgewood,'under 1/2 acre',1984,3600,Detached,B3M
929000,'West Bedford','1/2 - 1 acre',2017,3208,Detached,B4B
765000,Dartmouth,'under 1/2 acre',1970,2925,Detached,B3A
599900,Fairview,'under 1/2 acre',1945,3250,Detached,B3N
869900,Halifax,'under 1/2 acre',1925,2262,Detached,B3H
750000,Dartmouth,'under 1/2 acre',2014,2494,Detached,B3A
749000,Dartmouth,'under 1/2 acre',?,1500,Detached,B2Y
729900,Halifax,'under 1/2 acre',2007,1281,?,B3K
300000,'Clayton Park','under 1/2 acre',1979,1798,?,B3M
475000,Halifax,'under 1/2 acre',1975,2826,Detached,B3M
1195000,Halifax,'under 1/2 acre',1918,2682,Detached,B3H
