"03/25/2022, 18:59:20",https://www.realtor.ca/real-estate/24181886/105-slayter-street-dartmouth-dartmouth,"$439,000 ",105 Slayter Street,"Dartmouth, Nova Scotia B3A2B3",B3A2B3,MLS® Number: 202205039,3 + 0,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1959,"Garage, Detached Garage",1 day,"Mar 25, 2010 Sold $177,500",1582 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Flooring,"Hardwood, Laminate, Vinyl",Basement Type,Full (Finished),Building Features,Features,Level,Foundation Type,Poured Concrete,Style,Detached,Architecture Style,Character,Total Finished Area,1582 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Wood siding,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Public Transit",Parking,Parking Type,"Garage, Detached Garage",,,,,
"03/25/2022, 19:00:39",https://www.realtor.ca/real-estate/24181975/107-79-bedros-lane-halifax-halifax,"$499,000 ",107 79 Bedros Lane,"Halifax, Nova Scotia B3M4X5",B3M4X5,MLS® Number: 202205044,2 + 0,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,,2003,"Garage, Underground, Parking Space(s)",1 day,,1550 sqft,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,None,Building,Bedrooms,Above Grade,2,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Flooring,"Ceramic Tile, Vinyl",Basement Type,None,Building Features,Features,Balcony,Foundation Type,Poured Concrete,Total Finished Area,1550 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Park, Playground, Public Transit, Shopping, Place of Worship",Maintenance and Condo Information,Maintenance Fees,$528.89 Monthly,Parking,Parking Type,"Garage, Underground, Parking Space(s)",,,,,,,,,
"03/25/2022, 19:01:31",https://www.realtor.ca/real-estate/24181361/322-5662-roberts-street-halifax-peninsula-halifax-peninsula,"$479,900 ",322 5662 Roberts Street,"Halifax Peninsula, Nova Scotia B3K0E3",B3K0E3,MLS® Number: 202205016,2 + 0,2,2,Single Family,Apartment,2,Halifax Peninsula,Condominium/Strata,,2016,"Garage, Underground, Parking Space(s)",1 day,,953 sqft,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Intercom",,,,None,Building,Bedrooms,Above Grade,2,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Intercom",Basement Type,None,Building Features,Features,Balcony,Total Finished Area,953 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Aluminum siding,Neighbourhood Features,Community Features,Recreational Facilities,Amenities Nearby,"Park, Playground, Public Transit, Shopping",Maintenance and Condo Information,Maintenance Fees,$340.08 Monthly,Parking,Parking Type,"Garage, Underground, Parking Space(s)",,,,,,,,,,
"03/25/2022, 19:07:30",https://www.realtor.ca/real-estate/24181703/601-1-prince-street-dartmouth-dartmouth,"$399,900 ",601 1 Prince Street,"Dartmouth, Nova Scotia B2Y4L3",B2Y4L3,MLS® Number: 202205018,1 + 0,1,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,1986,"Garage, Underground",1 day,"Aug 1, 2012 Sold $270,000",911 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Unknown,Building,Bedrooms,Above Grade,1,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Flooring,"Ceramic Tile, Engineered hardwood",Basement Type,Unknown,Building Features,Features,Balcony,Foundation Type,Poured Concrete,Total Finished Area,911 sqft,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Other",Pool Type,Inground pool,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Public Transit, Shopping, Place of Worship",Maintenance and Condo Information,Maintenance Fees,$470.27 Monthly,Parking,Parking Type,"Garage, Underground",,,,
"03/25/2022, 19:07:58",https://www.realtor.ca/real-estate/24181770/70-maplewood-drive-cole-harbour-cole-harbour,"$1,060,000 ",70 Maplewood Drive,"Cole Harbour, Nova Scotia B2V2R1",B2V2R1,MLS® Number: 202126960,3 + 0,3,4,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,1993,"Garage, Attached Garage",1 day,,3859 sqft,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,4,Partial,1,Interior Features,Appliances Included,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Flooring,"Ceramic Tile, Hardwood",Basement Features,Walk out,Basement Type,Full (Finished),Building Features,Features,"Treed, Balcony, Level",Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,3859 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Vinyl",Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Park, Playground, Public Transit, Shopping",Parking,Parking Type,"Garage, Attached Garage",,
"03/25/2022, 19:10:02",https://www.realtor.ca/real-estate/24181771/510-60-walter-havill-drive-halifax-halifax,"$349,900 ",510 60 Walter Havill Drive,"Halifax, Nova Scotia B3N0A9",B3N0A9,MLS® Number: 202205020,2 + 0,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,Unknown,2010,"Garage, Underground",1 day,,1224 sqft,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,,None,,Building,Bedrooms,Above Grade,2,Bathrooms,Total,2,Partial,0,Interior Features,Appliances Included,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Flooring,"Ceramic Tile, Hardwood",Building Features,Features,"Wheelchair access, Level",Foundation Type,Poured Concrete,Architecture Style,None,Total Finished Area,1224 sqft,Heating & Cooling,Cooling,"Central air conditioning, Heat Pump",Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Stone,Neighbourhood Features,Community Features,School Bus,Amenities Nearby,"Park, Playground, Public Transit",Maintenance and Condo Information,Maintenance Fees,$387 Monthly,Parking,Parking Type,"Garage, Underground",,,
"03/25/2022, 19:10:52",https://www.realtor.ca/real-estate/24181775/119-milsom-street-halifax-halifax,"$958,000 ",119 Milsom Street,"Halifax, Nova Scotia B3N3M3",B3N3M3,MLS® Number: 202205026,4 + 0,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2009,Garage,1 day,"Mar 27, 2019 Sold $672,000",4080 sqft,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,,Building,Bedrooms,Above Grade,4,Bathrooms,Total,4,Partial,1,Interior Features,Appliances Included,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Central Vacuum",Flooring,"Hardwood, Marble, Porcelain Tile",Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,4080 sqft,Rental Equipment,Propane Tank,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Stone, Vinyl",Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Golf Course, Park, Playground, Public Transit, Shopping",Parking,Parking Type,Garage,,,,,,
"03/25/2022, 19:11:26",https://www.realtor.ca/real-estate/24181776/59b-chadwick-street-dartmouth-dartmouth,"$224,900 ",59B Chadwick Street,"Dartmouth, Nova Scotia B2Y2M2",B2Y2M2,MLS® Number: 202205027,2 + 0,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1962,Gravel,1 day,"Aug 15, 2017 Sold $120,000",664 sqft,"Stove, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space,Building,Bedrooms,Above Grade,2,Bathrooms,Total,1,Partial,0,Interior Features,Appliances Included,"Stove, Dryer, Washer, Refrigerator",Flooring,"Ceramic Tile, Laminate, Tile",Basement Type,Crawl space,Building Features,Features,Sump Pump,Foundation Type,Concrete Block,Style,Detached,Architecture Style,Character,Total Finished Area,664 sqft,Structures,Shed,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,Aluminum siding,Neighbourhood Features,Community Features,"Recreational Facilities, School Bus",Amenities Nearby,"Park, Playground, Public Transit, Shopping, Place of Worship",Parking,Parking Type,Gravel,,,
"03/25/2022, 19:11:56",https://www.realtor.ca/real-estate/24181779/130-joffre-street-dartmouth-dartmouth,"$349,900 ",130 Joffre Street,"Dartmouth, Nova Scotia B2Y3E1",B2Y3E1,MLS® Number: 202205031,3 + 0,3,1,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1957,,1 day,,1313 sqft,,Poured Concrete,Detached,,Full (Unfinished),Building,Bedrooms,Above Grade,3,Bathrooms,Total,1,Partial,0,Interior Features,Flooring,"Ceramic Tile, Hardwood, Laminate",Basement Type,Full (Unfinished),Building Features,Foundation Type,Poured Concrete,Style,Detached,Total Finished Area,1313 sqft,Heating & Cooling,Cooling,Heat Pump,Utilities,Utility Sewer,Municipal sewage system,Water,Municipal water,Exterior Features,Exterior Finish,"Brick, Vinyl",,,,,,,,,,,,,,,,
"03/25/2022, 19:12:55",https://www.realtor.ca/real-estate/24181780/4106-st-margarets-bay-road-hubley-hubley,"$689,000 ",4106 St. Margarets Bay Road,"Hubley, Nova Scotia B3Z1C2",B3Z1C2,MLS® Number: 202205032,3 + 0,3,2,Single Family,House,1,Hubley,Freehold,1/2 - 1 acre,2015,"Garage, Attached Garage, Detached Garage",1 day,"Dec 2, 2013 Sold $38,000",1992 sqft,,Concrete Slab,Detached,Character,None,Building,Bedrooms,Above Grade,3,Bathrooms,Total,2,Partial,0,Interior Features,Flooring,"Ceramic Tile, Engineered hardwood, Laminate",Basement Type,None,Building Features,Features,Level,Foundation Type,Concrete Slab,Style,Detached,Architecture Style,Character,Total Finished Area,1992 sqft,Rental Equipment,Propane Tank,Structures,Shed,Utilities,Utility Sewer,Septic System,Water,Drilled Well,Exterior Features,Exterior Finish,"Concrete Siding, Vinyl",Neighbourhood Features,Community Features,School Bus,Amenities Nearby,"Park, Playground, Shopping",Parking,Parking Type,"Garage, Attached Garage, Detached Garage",,,
